site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3m3,NPP.gC.m2.d,qmax.gC.m2,pH_CaCl2,BD.mg.cm3,depth
DECCW1545,152.108406,-28.758691,3776.9062102,2396.4345227,1380.4716875,15.7,0.35,0.73,9133.05781884746,4.81558561,1440.17475,0.3
DECCW1525,152.108615,-28.884591,3507.24306423,2520.3340003,986.90906393,15.7,0.35,1.08,8574.54363887984,4.83871767,1460.44396,0.3
DECCW1529,152.109838,-28.884274,4130.0556063,2204.8738542,1925.1817521,15.7,0.35,1.2,8200.6236175673,4.8582885,1433.86163,0.3
DECCW1549,152.114018,-29.02092,3241.52812154,2403.5223275,838.00579404,15.5,0.41,1.31,8859.28697370143,5.07161652,1488.38409,0.3
NSW003537,152.114243,-29.452501,4204.9209674,2657.1047559,1547.8162115,14.8,0.42,1.44,11534.6195783061,4.89605863,1363.95782,0.3
NSW001031,152.114274,-29.452501,4339.6877278,3241.6913438,1097.996384,14.8,0.42,1.44,11534.6195783061,4.89605863,1363.95782,0.3
DECCW1201,152.114949,-29.021395,3184.82619078,2216.4842687,968.34192208,15.5,0.41,1.73,8696.61718247502,5.09191022,1493.69737,0.3
NSW003362,152.12414,-30.438987,3512.2539312,2249.0101171,1263.2438141,13.1,0.33,1.44,8453.36680262407,4.74871262,1469.62479,0.3
NSW003332,152.124621,-30.439938,3272.3085964,2245.9642521,1026.3443443,13.1,0.33,1.44,8546.55796038888,4.73539617,1448.30384,0.3
NSW000946,152.135157,-29.562713,3521.59865731,2700.6042448,820.99441251,14.8,0.42,1.66,9296.90503836367,4.95079134,1442.40245,0.3
NSW003311,152.138854,-30.53144,4358.6229612,2645.6304255,1712.9925357,13.1,0.33,1.37,9156.14526547117,4.87291355,1419.14183,0.3
QLDC000251,152.144548,-28.23359,4162.48640956,3216.3580935,946.12831606,17.8,0.25,1.46,9070.75859668599,5.70676036,1357.62895,0.3
DECCW1541,152.168773,-29.025665,3948.6949132,2518.687343,1430.0075702,15.5,0.41,1.35,9082.37383145345,4.8557499,1444.70217,0.3
QLDC000290,152.16969,-28.176037,3620.3540654,1988.057049,1632.2970164,17.8,0.25,1.42,9108.20617782419,5.54690723,1355.84738,0.3
GA1071,152.191297,-30.752323,6912.8856834,5670.1132401,1242.7724433,14.8,0.32,0.62,7621.29803669971,5.04672251,1340.32035,0.3
GA953,152.20286,-24.93776,3880.30448614,3273.6136077,606.69087844,21.8,0.3,1.02,6014.43130816611,4.97293307,1411.82426,0.3
NSW003089,152.204822,-30.277519,5654.6289648,3997.9030402,1656.7259246,13.7,0.33,1.75,6690.56608720398,4.73694297,1321.93327,0.3
NSW003212,152.205767,-30.277624,5657.0935936,4018.78472,1638.3088736,13.7,0.33,1.75,6784.40932142264,4.7612563,1345.28774,0.3
DECCW0265,152.470277,-31.719978,6457.4362392,4707.8275634,1749.6086758,18.4,0.29,0.75,11335.6739488331,4.52051894,1216.2462,0.3
GA_bot363,152.487137,-29.387868,7893.2875065,5840.617753,2052.6697535,16.9,0.34,0.96,8834.76024777765,5.04885961,1319.60019,0.3
