site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3,NPP.gC.m2,qmax.gC.m2,pH-CaCl2,BD.mg.cm3,depth,REC-ID
GA911,141.32204,-16.81948,2186.70118977,1957.8508723,228.85031747,29.3,0.25,0.82,6245.02761723352,5.24234217,1506.71251,0.3,39
GA1048,141.58235,-16.44368,3367.92211392,2587.016199,780.90591492,29.5,0.21,0.95,6161.98354194852,4.83972487,1488.17489,0.3,39
GA877,141.63548,-20.05894,1977.01919724,1797.3847145,179.63448274,30.1,0.26,0.57,6324.22109231813,6.78095181,1437.99206,0.3,39
GA1099,141.71183,-18.67216,1490.83046608,1309.631897,181.19856908,29.9,0.18,0.77,5913.69478207837,5.43646859,1517.89942,0.3,39
GA801,141.7924,-16.48521,2200.15781594,1780.7416605,419.41615544,29.8,0.2,0.76,6142.23601632983,4.7207027,1530.87779,0.3,39
GA858,141.82032,-19.45551,1455.58435472,1218.0601141,237.52424062,30.4,0.14,0.65,5895.21100048936,5.30358981,1551.04217,0.3,39
GA906,142.07666,-16.94756,1708.58940562,1479.3646308,229.22477482,29.6,0.24,0.56,7620.4989960426,5.01522345,1517.08401,0.3,39
GA_bot23,142.63116,-20.63867,1859.6738532,1681.980904,177.6929492,29.4,0.28,0.75,6356.00719491818,6.58558428,1445.1829,0.3,39
GA1082,142.87433,-18.20115,1990.87629348,1762.1892456,228.68704788,29.1,0.16,0.79,6523.04923342137,5.10634397,1510.40873,0.3,39
GA998,142.9221,-20.5813,1698.11745607,1443.2721773,254.84527877,29.1,0.2,0.81,5888.2997825931,5.95702325,1492.82264,0.3,39
GA1034,143.10787,-20.25465,1906.29737813,1652.3948793,253.90249883,28.3,0.17,0.86,6304.15820978233,5.40905408,1530.75312,0.3,39
GA_bot253,143.308096,-16.51797,1784.88463135,1550.0262285,234.85840285,29.3,0.2,1.43,8744.60703610485,5.08787091,1512.07315,0.3,39
GA870,143.47192,-16.5266,2796.58672762,2243.5034305,553.08329712,29.3,0.2,1.55,8372.48609630572,5.17260439,1508.03345,0.3,39
GA_bot735,143.472,-16.528,2061.01657499,1746.3322058,314.68436919,29.3,0.2,1.55,8535.95387994338,5.09468635,1503.75471,0.3,39
GA_bot650,143.482,-15.887,2362.87339285,2096.3845734,266.48881945,28.7,0.2,1.34,5010.86403972049,5.11148845,1499.97343,0.3,39
Qld1217,143.49712,-15.88447,2740.59380312,2252.354417,488.23938612,28.7,0.2,1.43,5642.29101863808,5.0964966,1501.87461,0.3,39
GA_bot150,143.79956,-17.40749,2094.47778952,1789.3436335,305.13415602,28.3,0.11,0.75,6460.41372655309,5.20546952,1512.09338,0.3,39
S159,143.762992,-20.030536,4611.39736640454,3747.06750216879,864.32986423575,26.0231889737256,0.094420765027322,0.850138566592643,3982.598135,5.15268965101242,1537.13245546818,0.3,39
GA901,122.76712,-28.31388,1789.14584783,1449.4117989,339.73404893,22.6,0.08,0.31,6344.33904010105,5.33387887,1557.17524,0.3,40
GA_bot80,122.90527,-26.67841,2048.46176517,1686.6469431,361.81482207,23.9,0.12,0.21,6191.1215213999,5.57148502,1509.7946,0.3,40
GA_bot407,122.938,-27.271,1680.78790446,1416.8640049,263.92389956,24.6,0.12,0.23,6406.47793960132,5.52899477,1550.24234,0.3,40
GA_bot81,123.27151,-28.93645,1911.96880435,1643.1934125,268.77539185,22.2,0.15,0.28,4879.21056928812,5.58125909,1524.36,0.3,40
